product,category,sub_category,brand,sale_price,rating
Spiced Tea - Blend Of 7 Refreshing Spices,Beverages,Tea,Wagh Bakri,150.0,4.3
Millet Rusk - Sweet,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Nutribee,100.0,4.5
"Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm","Kitchen, Garden & Pets",Cookware & Non Stick,Vinod,1099.0,3.8
"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",Cleaning & Household,Fresheners & Repellents,Aer,53.35,4.2
Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box,"Kitchen, Garden & Pets",Storage & Accessories,Hm International,269.0,3.0
Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),"Foodgrains, Oil & Masala",Edible Oils & Ghee,Dhara ,183.0,4.1
Premium Square Plastic Container - Green,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,179.0,3.9
Instant Popcorn - Butter Delite,Snacks & Branded Foods,Snacks & Namkeen,ACT II,29.7,4.2
Dark Fantasy - Choco Fills Biscuits - Cookies,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,23.76,4.3
I Love You Fruit N Nut Chocolate,Snacks & Branded Foods,Chocolates & Candies,Amul,90.0,4.2
Pitted Green Olives,Gourmet & World Food,Tinned & Processed Food,Del Monte,230.0,4.4
Glass Mixing Bowl With Lid - Polo,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,159.0,3.7
Organic Idly Podi - Ginger,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,75.0,3.9
Glass Water Bottle - Aquaria Organic Purple,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369.0,4.8
Stainless Steel Pav Bhaji/Idli Oval Shaped Plate,"Kitchen, Garden & Pets",Steel Utensils,Omega,125.0,3.6
Organic Cow Ghee/Tuppa,"Foodgrains, Oil & Masala",Organic Staples,Akshayakalpa,280.0,4.2
Dates/Kharjura - Deseeded,"Foodgrains, Oil & Masala",Dry Fruits,Lion,66.0,4.1
Chutney - Sweet Mango Sliced (without Garlic),Snacks & Branded Foods,Pickles & Chutney,Priya,90.0,3.9
Turmeric Powder/Arisina Pudi,"Foodgrains, Oil & Masala",Masalas & Spices,Aashirvaad,32.0,4.2
Ragi Flakes,Snacks & Branded Foods,Breakfast Cereals,Murginns,225.0,4.5
Mustard Oil - Cold Pressed,Gourmet & World Food,Oils & Vinegar,Health 1st,250.0,3.7
Juice/Water Glass - Long Drink Nord,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,639.0,3.3
"Finger Brush For Kids - Blue, Ultra Soft",Beauty & Hygiene,Oral Care,Dentoshine  ,120.0,4.3
Water/Juice Glass  - Jupiter Long Glass,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,459.0,3.5
Breeze - Razor Blades,Beauty & Hygiene,Feminine Hygiene,Gillette Venus,350.0,4.3
Olive Oil - Classic,Gourmet & World Food,Oils & Vinegar,BORGES,429.03,4.5
Skin Cream,Beauty & Hygiene,Skin Care,Aloederm,112.5,3.1
One Touch Air Purifier Freshener - Floral Bouquet Refill,Cleaning & Household,Fresheners & Repellents,Odonil ,77.0,4.2
Water/Juice Glass,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,189.0,3.7
Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,Beauty & Hygiene,Hair Care,Garnier,199.0,4.1
Nomarks - Antimarks Soap For Oily Skin,Beauty & Hygiene,Bath & Hand Wash,Bajaj,40.0,4.3
Baby Napkins - Mini Terry,Baby Care,Feeding & Nursing,Mee Mee,179.0,4.3
"Printed Fabric Pencil Pouch - Purple, BB1263DPPL",Cleaning & Household,Stationery,DP,232.0,4.0
Organic Dosa Mix - Jowar,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,80.0,3.7
Lunch Box/Tiffin Set - Green BB 570 2,"Kitchen, Garden & Pets",Storage & Accessories,Tedemei,509.0,3.6
BCAA Energy Drink - Berry Flavour,Beverages,Energy & Soft Drinks,NOCD,110.0,4.0
